Product,Page,Element,SikuliLocator,SeleniumLocator
Lisa,WorkstationLogin,Load,img=screenshot\WorkstationLogin\Load.png,
Lisa,WorkstationLogin,Text_Username,img=screenshot\WorkstationLogin\Text_Username.png,
Lisa,WorkstationLogin,Text_Password,img=screenshot\WorkstationLogin\Text_Password.png,
Lisa,WorkstationLogin,Button_Cancel,img=screenshot\WorkstationLogin\Button_Cancel.png,
Lisa,Workstation,Load,img=screenshot\Workstation\Load.png,
Lisa,Workstation,Button_ServerConsole,img=screenshot\Workstation\Button_ServerConsole.png,
Lisa,Workstation,Button_ToggleRegistry,img=screenshot\Workstation\Button_ToggleRegistry.png,
Lisa,VSImage,Load,img=screenshot\VSImage\Load.png,
Lisa,VSModel,Load,img=screenshot\VSModel\Load.png,
Lisa,AuditDoc,Load,img=screenshot\AuditDoc\Load.png,
Lisa,Project,Load,img=screenshot\Project\Load.png,
Lisa,Project,Button_Close,img=screenshot\Project\Button_Close.png,
Lisa,Suite,Load,img=screenshot\Suite\Load.png,
Lisa,StagingDoc,Load,img=screenshot\StagingDoc\Load.png,
Lisa,Case,Load,img=screenshot\Case\Load.png,
Lisa,Case,Button_StepAdd,img=screenshot\Case\Button_Step_Add.png,
Lisa,Case,Label_Arrow,img=screenshot\Case\Label_Arrow_Starter.png,
Lisa,Step,Load,img=screenshot\Step\Load.png,
Lisa,StepExtFtp,Load,img=screenshot\StepExtFtp\Load.png,
Lisa,StepExtFtp,Label_Host,img=screenshot\StepExtFtp\Label_Host.png,
Lisa,StepExtFtp,Text_Host,img=screenshot\StepExtFtp\Text_Host.png,
Lisa,StepExtFtp,Choice_Upload,img=screenshot\StepExtFtp\Choice_Upload.png,
Lisa,StepExtFtp,Button_Update,img=screenshot\StepExtFtp\Button_Update.png,
Lisa,StepExtFtp,Label_FtpTitleBase,img=screenshot\StepExtFtp\Label_FtpTitleBase.png,
Lisa,StepExtFtp,Label_FtpTitleNull,img=screenshot\StepExtFtp\Label_FtpTitleNull.png,
Lisa,StepExtFtp,Label_FtpTitleGet,img=screenshot\StepExtFtp\Label_FtpGetTitle.png,
Lisa,StepExtFtp,Label_FtpTitlePut,img=screenshot\StepExtFtp\Label_FtpPutTitle.png,
Lisa,WebLogin,Load,,id=x-auto-10-input
Lisa,WebLogin,Label_Title,,id=x-auto-3-label
Lisa,WebLogin,Text_Username,,id=x-auto-9-input
Lisa,WebLogin,Text_Password,,id=x-auto-10-input
Lisa,WebLogin,Button_OK,,xpath=/html/body/div[5]/div[2]/div[2]/div/div/div/div/div/table/tbody/tr/td[2]/table/tbody/tr/td/table/tbody/tr/td[2]/table/tbody/tr[2]/td[2]/em/button
Lisa,WebLogin,Text_Prompt,,id=x-auto-11
Lisa,WebHome,Load,img=screenshot\WebHome\Load.png,id=x-auto-15
Lisa,WebHome,Button_PathFinder,img=screenshot\WebHome\Button_PathFinder.png,id=x-auto-25
Lisa,WebHome,Button_Dashboard,img=screenshot\WebHome\Button_Dashboard.png,id=x-auto-26
Lisa,WebHome,Button_CVS,img=screenshot\WebHome\Button_CVS.png,id=x-auto-28
Lisa,WebHome,Button_ServerConsole,img=screenshot\WebHome\Button_ServerConsole.png,id=x-auto-30
Lisa,WebHome,Button_VSEasy,img=screenshot\WebHome\Button_VSEasy.png,id=x-auto-31
Lisa,ServerConsole,Load,img=screenshot\ServerConsole\Load.png,id=x-auto-45
Lisa,ServerConsole,Button_Admin,img=screenshot\ServerConsole\Button_Admin.png,id=x-auto-14
Lisa,ServerConsole,Button_LisaNet,img=screenshot\ServerConsole\Button_LisaNet.png,id=x-auto-9
Lisa,ServerConsoleAdmin,Load,img=screenshot\ServerConsole\Load.png,id=x-auto-50
Lisa,ServerConsoleAdmin,Button_Users,img=screenshot\ServerConsoleAdmin\Button_Users.png,id=x-auto-17__x-auto-17_x-auto-19
Lisa,ServerConsoleAdmin,Button_Security,img=screenshot\ServerConsoleAdmin\Button_Security.png,id=x-auto-17__x-auto-17_x-auto-18
Lisa,ServerConsoleAdminUser,Load,img=screenshot\ServerConsoleAdminUser\Load.png,xpath=/html/body/div/div/div/div[2]/div/div[2]/div/div/div[2]/div[2]/div/div/div/div/div/table/tbody/tr/td/table/tbody/tr/td/table/tbody/tr[2]/td[2]/em/button
Lisa,ServerConsoleAdminUser,Button_AddUser,img=screenshot\ServerConsoleAdminUser\Button_AddUser.png,xpath=/html/body/div/div/div/div[2]/div/div[2]/div/div/div[2]/div[2]/div/div/div/div/div/table/tbody/tr/td/table/tbody/tr/td/table/tbody/tr[2]/td[2]/em/button
Lisa,ServerConsoleAdminUser,Button_DelUser,img=screenshot\ServerConsoleAdminUser\Button_DelUser.png,xpath=/html/body/div/div/div/div[2]/div/div[2]/div/div/div[2]/div[2]/div/div/div/div/div/table/tbody/tr/td/table/tbody/tr/td/table/tbody/tr[2]/td[2]/em/button
Lisa,ServerConsoleAdminUser,Blank,img=screenshot\ServerConsoleAdminUser\Blank.png,
Lisa,ServerConsoleAdminUser,Label_UserId,img=screenshot\ServerConsoleAdminUser\Label_UserId.png,
Lisa,ServerConsoleAdminUser,Button_Add,img=screenshot\ServerConsoleAdminUser\Button_Add.png,
Lisa,ServerConsoleAdminUser,Choice_UserLikeTestRunner,img=screenshot\ServerConsoleAdminUser\Choice_UserLikeTestRunner.png,
Lisa,ServerConsoleAdminUser,Button_Yes,img=screenshot\ServerConsoleAdminUser\Button_Yes.png,
